SETTLEMENTDATE,REGIONID,RRP
2025-07-01 11:40:00,VIC1,179.83077
2025-07-01 11:45:00,VIC1,236.21
2025-07-01 11:50:00,VIC1,235.12
2025-07-01 11:55:00,VIC1,236.21
2025-07-01 12:00:00,VIC1,235.12
2025-07-01 12:05:00,VIC1,227.97
2025-07-01 12:10:00,VIC1,235.12
2025-07-01 12:15:00,VIC1,262.40548
2025-07-01 12:20:00,VIC1,260.13145
2025-07-01 12:25:00,VIC1,236.8423
2025-07-01 12:30:00,VIC1,262.85211
2025-07-01 12:35:00,VIC1,235.12
2025-07-01 12:40:00,VIC1,266.96
2025-07-01 12:45:00,VIC1,266.96
2025-07-01 12:50:00,VIC1,257.13188
2025-07-01 12:55:00,VIC1,267.16763
2025-07-01 13:00:00,VIC1,250.17121
2025-07-01 13:05:00,VIC1,266.96
2025-07-01 13:10:00,VIC1,266.96
2025-07-01 13:15:00,VIC1,266.96
2025-07-01 13:20:00,VIC1,268.03981
2025-07-01 13:25:00,VIC1,266.96
2025-07-01 13:30:00,VIC1,268.54926
2025-07-01 13:35:00,VIC1,268.61473
2025-07-01 13:40:00,VIC1,268.94047
2025-07-01 13:45:00,VIC1,235.12
2025-07-01 13:50:00,VIC1,235.12
2025-07-01 13:55:00,VIC1,235.12
2025-07-01 14:00:00,VIC1,232.15501
2025-07-01 14:05:00,VIC1,227.97
2025-07-01 14:10:00,VIC1,227.97
2025-07-01 14:15:00,VIC1,227.97
2025-07-01 14:20:00,VIC1,295.22
2025-07-01 14:25:00,VIC1,227.97
2025-07-01 14:30:00,VIC1,266.96
2025-07-01 14:35:00,VIC1,231.02794
2025-07-01 14:40:00,VIC1,295.22
2025-07-01 14:45:00,VIC1,283.97543
2025-07-01 14:50:00,VIC1,295.22
2025-07-01 14:55:00,VIC1,268.27418
2025-07-01 15:00:00,VIC1,227.97
2025-07-01 15:05:00,VIC1,235.12
2025-07-01 15:10:00,VIC1,291.33205
2025-07-01 15:15:00,VIC1,295.22
2025-07-01 15:20:00,VIC1,290.67604
2025-07-01 15:25:00,VIC1,299.3
2025-07-01 15:30:00,VIC1,291.56491
2025-07-01 15:35:00,VIC1,222.66009
2025-07-01 15:40:00,VIC1,200.02
2025-07-01 15:45:00,VIC1,200.02
2025-07-01 15:50:00,VIC1,185.13708
2025-07-01 15:55:00,VIC1,174.45485
2025-07-01 16:00:00,VIC1,185.66902
2025-07-01 16:05:00,VIC1,191.33839
2025-07-01 16:10:00,VIC1,200.02
2025-07-01 16:15:00,VIC1,214.36395
2025-07-01 16:20:00,VIC1,200.02
2025-07-01 16:25:00,VIC1,216.02253
2025-07-01 16:30:00,VIC1,219.343
2025-07-01 16:35:00,VIC1,221.48307
2025-07-01 16:40:00,VIC1,225.34846
2025-07-01 16:45:00,VIC1,284.0
2025-07-01 16:50:00,VIC1,284.0
2025-07-01 16:55:00,VIC1,281.3375
2025-07-01 17:00:00,VIC1,281.01525
2025-07-01 17:05:00,VIC1,237.99
2025-07-01 17:10:00,VIC1,299.29
2025-07-01 17:15:00,VIC1,237.99
2025-07-01 17:20:00,VIC1,284.0
2025-07-01 17:25:00,VIC1,284.0
2025-07-01 17:30:00,VIC1,306.14624
2025-07-01 17:35:00,VIC1,299.29
2025-07-01 17:40:00,VIC1,298.0
2025-07-01 17:45:00,VIC1,287.64999
2025-07-01 17:50:00,VIC1,311.69
2025-07-01 17:55:00,VIC1,302.65
2025-07-01 18:00:00,VIC1,388.72
2025-07-01 18:05:00,VIC1,306.89896
2025-07-01 18:10:00,VIC1,266.11136
2025-07-01 18:15:00,VIC1,284.0
2025-07-01 18:20:00,VIC1,294.03371
2025-07-01 18:25:00,VIC1,250.30458
2025-07-01 18:30:00,VIC1,246.32192
2025-07-01 18:35:00,VIC1,237.99
2025-07-01 18:40:00,VIC1,248.61048
2025-07-01 18:45:00,VIC1,253.33666
2025-07-01 18:50:00,VIC1,295.21666
2025-07-01 18:55:00,VIC1,237.99
2025-07-01 19:00:00,VIC1,222.29
2025-07-01 19:05:00,VIC1,239.98033
2025-07-01 19:10:00,VIC1,237.99
2025-07-01 19:15:00,VIC1,237.99
2025-07-01 19:20:00,VIC1,237.99
2025-07-01 19:25:00,VIC1,237.99
2025-07-01 19:30:00,VIC1,200.02
2025-07-01 19:35:00,VIC1,201.7782
2025-07-01 19:40:00,VIC1,203.38528
2025-07-01 19:45:00,VIC1,203.44766
2025-07-01 19:50:00,VIC1,192.41831
2025-07-01 19:55:00,VIC1,200.53363
2025-07-01 20:00:00,VIC1,183.85
2025-07-01 20:05:00,VIC1,169.44872
2025-07-01 20:10:00,VIC1,160.0
2025-07-01 20:15:00,VIC1,160.0
2025-07-01 20:20:00,VIC1,160.30703
2025-07-01 20:25:00,VIC1,181.8379
2025-07-01 20:30:00,VIC1,160.0
2025-07-01 20:35:00,VIC1,237.99
2025-07-01 20:40:00,VIC1,186.04201
2025-07-01 20:45:00,VIC1,186.57281
2025-07-01 20:50:00,VIC1,183.85
2025-07-01 20:55:00,VIC1,143.71242
2025-07-01 21:00:00,VIC1,132.72
2025-07-01 21:05:00,VIC1,172.53474
2025-07-01 21:10:00,VIC1,174.43547
2025-07-01 21:15:00,VIC1,160.0
2025-07-01 21:20:00,VIC1,200.02
2025-07-01 21:25:00,VIC1,136.79806
2025-07-01 21:30:00,VIC1,160.0
2025-07-01 21:35:00,VIC1,142.0792
2025-07-01 21:40:00,VIC1,143.38773
2025-07-01 21:45:00,VIC1,142.52724
2025-07-01 21:50:00,VIC1,140.07173
2025-07-01 21:55:00,VIC1,145.8525
2025-07-01 22:00:00,VIC1,137.96
2025-07-01 22:05:00,VIC1,122.02
2025-07-01 22:10:00,VIC1,142.15416
2025-07-01 22:15:00,VIC1,148.00951
2025-07-01 22:20:00,VIC1,146.18078
2025-07-01 22:25:00,VIC1,119.76392
2025-07-01 22:30:00,VIC1,119.5671
2025-07-01 22:35:00,VIC1,120.13854
2025-07-01 22:40:00,VIC1,122.02
2025-07-01 22:45:00,VIC1,122.02
2025-07-01 22:50:00,VIC1,119.84002
2025-07-01 22:55:00,VIC1,122.02
2025-07-01 23:00:00,VIC1,122.02
2025-07-01 23:05:00,VIC1,137.16387
2025-07-01 23:10:00,VIC1,138.567
2025-07-01 23:15:00,VIC1,137.22995
2025-07-01 23:20:00,VIC1,160.00007
2025-07-01 23:25:00,VIC1,140.36181
2025-07-01 23:30:00,VIC1,139.27939
2025-07-01 23:35:00,VIC1,138.92228
2025-07-01 23:40:00,VIC1,139.99914
