C,SETP.WORLD,DVD_DISPATCHPRICE,AEMO,PUBLIC,2025/08/08,09:36:13,001754609773098,MONTHLY_ARCHIVE,001754609773098
I,DISPATCH,PRICE,5,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,LASTCHANGED,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,PRICE_STATUS,PRE_AP_ENERGY_PRICE,PRE_AP_RAISE6_PRICE,PRE_AP_RAISE60_PRICE,PRE_AP_RAISE5MIN_PRICE,PRE_AP_RAISEREG_PRICE,PRE_AP_LOWER6_PRICE,PRE_AP_LOWER60_PRICE,PRE_AP_LOWER5MIN_PRICE,PRE_AP_LOWERREG_PRICE,CUMUL_PRE_AP_ENERGY_PRICE,CUMUL_PRE_AP_RAISE6_PRICE,CUMUL_PRE_AP_RAISE60_PRICE,CUMUL_PRE_AP_RAISE5MIN_PRICE,CUMUL_PRE_AP_RAISEREG_PRICE,CUMUL_PRE_AP_LOWER6_PRICE,CUMUL_PRE_AP_LOWER60_PRICE,CUMUL_PRE_AP_LOWER5MIN_PRICE,CUMUL_PRE_AP_LOWERREG_PRICE,OCD_STATUS,MII_STATUS,RAISE1SECRRP,RAISE1SECROP,RAISE1SECAPCFLAG,LOWER1SECRRP,LOWER1SECROP,LOWER1SECAPCFLAG,PRE_AP_RAISE1_PRICE,PRE_AP_LOWER1_PRICE,CUMUL_PRE_AP_RAISE1_PRICE,CUMUL_PRE_AP_LOWER1_PRICE
D,DISPATCH,PRICE,5,"2025/07/01 00:15:00",1,NSW1,20250630243,0,169.60501,0,169.60501,0,0,"2025/07/01 00:10:02",0.38,0.38,0,0.38,0.38,0,0.32,0.32,0,4.99,4.99,0,0.1,0.1,0,0.38,0.38,0,0.1,0.1,0,3.75,3.75,0,FIRM,169.60501,0.38,0.38,0.32,4.99,0.1,0.38,0.1,3.75,852823.13792,5634.12397,3114.74499,390.92803,17454.50648,489.84359,1032.13162,468.85231,4668.62198,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,797.5261,3.77
D,DISPATCH,PRICE,5,"2025/07/01 00:15:00",1,QLD1,20250630243,0,146.94201,0,146.94201,0,0,"2025/07/01 00:10:02",0.38,0.38,0,0.38,0.38,0,0.32,0.32,0,4.99,4.99,0,0.1,0.1,0,0.38,0.38,0,0.1,0.1,0,3.75,3.75,0,FIRM,146.94201,0.38,0.38,0.32,4.99,0.1,0.38,0.1,3.75,283027.36697,5634.12397,3114.74499,390.92803,17454.50648,489.84359,1032.13162,468.85231,4668.62198,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,797.5261,3.77
D,DISPATCH,PRICE,5,"2025/07/01 00:15:00",1,SA1,20250630243,0,170.53,0,170.53,0,0,"2025/07/01 00:10:02",0.38,0.38,0,0.38,0.38,0,0.32,0.32,0,4.99,4.99,0,0.1,0.1,0,0.38,0.38,0,0.1,0.1,0,3.75,3.75,0,FIRM,170.53,0.38,0.38,0.32,4.99,0.1,0.38,0.1,3.75,843420.67111,5634.16397,3116.01499,390.93803,17454.51648,2599.77522,3131.6584,521.1409,4720.91057,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,797.5261,2848.68
D,DISPATCH,PRICE,5,"2025/07/01 00:15:00",1,TAS1,20250630243,0,176.95151,0,176.95151,0,0,"2025/07/01 00:10:02",0.38,0.38,0,0.38,0.38,0,0.32,0.32,0,7.72,7.72,0,0.1,0.1,0,0.38,0.38,0,0.1,0.1,0,3.27,3.27,0,FIRM,176.95151,0.38,0.38,0.32,7.72,0.1,0.38,0.1,3.27,568142.7242,12515.54967,1007.33603,441.52803,202799.01965,4367.33961,979.77017,346.30449,17726.52602,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,705.61393,2.25
D,DISPATCH,PRICE,5,"2025/07/01 00:15:00",1,VIC1,20250630243,0,169.4761,0,169.4761,0,0,"2025/07/01 00:10:02",0.38,0.38,0,0.38,0.38,0,0.32,0.32,0,4.99,4.99,0,0.1,0.1,0,0.38,0.38,0,0.1,0.1,0,3.75,3.75,0,FIRM,169.4761,0.38,0.38,0.32,4.99,0.1,0.38,0.1,3.75,887593.06902,5634.12397,3114.74499,390.92803,17454.50648,489.84359,1032.13162,468.85231,4668.62198,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,797.5261,3.77
D,DISPATCH,PRICE,5,"2025/07/01 00:20:00",1,NSW1,20250630244,0,185.72053,0,185.72053,0,0,"2025/07/01 00:15:02",0.38,0.38,0,0.36,0.36,0,0.32,0.32,0,3.38,3.38,0,0.38,0.38,0,0.38,0.38,0,0.1,0.1,0,3.75,3.75,0,FIRM,185.72053,0.38,0.36,0.32,3.38,0.38,0.38,0.1,3.75,852951.57293,5634.27397,3115.00499,391.14803,17452.88648,489.84359,1032.13162,468.57231,4669.23198,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,797.5761,3.76
D,DISPATCH,PRICE,5,"2025/07/01 00:20:00",1,QLD1,20250630244,0,161.99002,0,161.99002,0,0,"2025/07/01 00:15:02",0.38,0.38,0,0.36,0.36,0,0.32,0.32,0,3.38,3.38,0,0.38,0.38,0,0.38,0.38,0,0.1,0.1,0,3.75,3.75,0,FIRM,161.99002,0.38,0.36,0.32,3.38,0.38,0.38,0.1,3.75,283132.75417,5634.27397,3115.00499,391.14803,17452.88648,489.84359,1032.13162,468.57231,4669.23198,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,797.5761,3.76
D,DISPATCH,PRICE,5,"2025/07/01 00:20:00",1,SA1,20250630244,0,186.68613,0,186.68613,0,0,"2025/07/01 00:15:02",0.38,0.38,0,0.36,0.36,0,0.32,0.32,0,3.38,3.38,0,0.38,0.38,0,0.38,0.38,0,0.1,0.1,0,3.75,3.75,0,FIRM,186.68613,0.38,0.36,0.32,3.38,0.38,0.38,0.1,3.75,843615.35724,5634.31397,3116.27499,391.15803,17452.89648,2599.77522,3131.6584,520.8609,4721.52057,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,797.5761,2848.67
D,DISPATCH,PRICE,5,"2025/07/01 00:20:00",1,TAS1,20250630244,0,190.35,0,190.35,0,0,"2025/07/01 00:15:02",0.38,0.38,0,0.36,0.36,0,0.32,0.32,0,7.72,7.72,0,0.38,0.38,0,0.38,0.38,0,0.1,0.1,0,2.27,2.27,0,FIRM,190.35,0.38,0.36,0.32,7.72,0.38,0.38,0.1,2.27,568322.0442,12515.54967,1007.31603,441.48803,202797.66965,4367.33961,979.77017,346.40449,17588.39602,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,705.66393,2.25
D,DISPATCH,PRICE,5,"2025/07/01 00:20:00",1,VIC1,20250630244,0,184.67607,0,184.67607,0,0,"2025/07/01 00:15:02",0.38,0.38,0,0.36,0.36,0,0.32,0.32,0,3.38,3.38,0,0.38,0.38,0,0.38,0.38,0,0.1,0.1,0,3.75,3.75,0,FIRM,184.67607,0.38,0.36,0.32,3.38,0.38,0.38,0.1,3.75,887777.73509,5634.27397,3115.00499,391.14803,17452.88648,489.84359,1032.13162,468.57231,4669.23198,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,797.5761,3.76
