strategy,revenue,energy_charged_mwh,energy_discharged_mwh,equivalent_cycles,charging_intervals,discharging_intervals
Rule-based,521874.687123575,3102.8339862590583,2868.4452514771915,14.342226257385958,391,358
LP,1596923.8039988587,27760.13320788331,24984.119887094967,124.92059943547483,3472,3123
MILP,1594736.3787545394,26028.407250594908,23425.566525535396,117.12783262767698,3271,2910
